ID_CLIENTE_CRM,NOMBRE_CLIENTE,TELEFONO,EMAIL
1234,Pedro Saul Rumi,3123456789,dmitry.ivanov@correo.com
1235,Juan Per Salc,3145678901,anastasia.petrova@dominio.es
1236,Miguel Ort Naim,3198765432,nikolai.sokolov@mail.ru
1237,Ana Juli Retr,3112345678,olga.kuznetsova@webmail.com
1238,Maria San Delg,3007654321,alexei.smirnov@correo.net
1239,John Reng Piotr,3134567890,ekaterina.fedorova@dominio.org
1240,Dmitry Ivanov,3176543210,sergey.volkov@mail.com
1241,Anastasia Petrova,3154321098,marina.morozova@servidor.com
1242,Nikolai Sokolov,3129876543,viktor.lebedev@correo.com
1243,Olga Kuznetsova,3110987654,svetlana.mikhailova@webmail.org
1244,Alexei Smirnov,3206543210,ivan.pavlov@dominio.ru
1245,Ekaterina Fedorova,3178901234,natalia.vasilieva@correo.net
1246,Sergey Volkov,3143210987,mikhail.kozlov@correo.com
1247,Marina Morozova,3156789012,tatiana.ivanova?servidor.org
1248,Viktor Lebedev,3121098765,andrei.novikov@mail.net
1249,Svetlana Mikhailova,3190123456,elena.romanova@dominio.com
1250,Ivan Pavlov,3015678902,roman.voronin@correo.org
1251,Natalia Vasilieva,3189012345,yulia.egorova@mail.ru
1252,,316543210,igor.orlov@dominio.net
1253,Tatiana Ivanova,3122345678,polina.yakovleva@correo.com
1254,Andrei Novikov,3150987654,boris.popov@webmail.net
1255,Elena Romanova,3203456789,galina.stepanova@correo.org
1256,Roman Voronin,3171234567,kirill.zaitsev@mail.ru
1257,Yulia Egorova,3148765432,vera.nikitina@dominio.com
1258,Igor Orlov,3184321098,oleg.dmitriev@correo.net
1259,Polina Yakovleva,3117654321,irina.belova@servidor.com
1260,Boris Popov,3167890123,pavel.antonov@dominio.org
1261,Galina Stepanova,3026789012,ksenia.bogdanova@mail.net
1262,Kirill Zaitsev,3156543210,vladimir.sorokin@correo.com
1263,Vera Nikitina,3210123456,alina.tarasova@webmail.ru
1264,Oleg Dmitriev,3197654321,roman.nikitin@correo.net
1265,Irina Belova,3185678901,olga.popova@dominio.org
1266,,3138765432,andrei.morozov@mail.com
1267,Ksenia Bogdanova,3123210987,pedro@correo.ru
1268,Vladimir Sorokin,3161098765,sergey.novikov@dominio.net
1269,Alina Tarasova,3198901234,tatiana.sokolova@webmail.org
1270,Trevor Rachel,3114321098,alexei.ivanov@correo.com
1271,Mike Loang,3215432109,marina.fedorova@dominio.net
1272,Julieta Vernicio,3180987654,svetlana.romanova@correo.ru
1273,Carola Tomassi,3172345678,igor.kuznetsov@mail.org
1299,Patricia Solar,3209890099,psolar@ind.com
