ID_UNICO_ERP,NOMBRE_CLIENTE_ERP,TELEFONO_ERP
1234,Pedro Saul Rumi,3123456789
1235,Juan Per Salc,3145678901
1236,Miguel Ort Naim,3198765432
1237,Ana Juli Retr,3112345678
1238,Maria San Delg,3007654321
1239,John Reng Piotr,3134567890
1240,Dmitry Ivanov,3176543210
1241,Anastasia Petrova,3154321098
1242,Nikolai Sokolov,3129876543
1243,Olga Kuznetsova,3110987654
1248,Viktor Lebedev,3121098765
1249,Svetlana Mikhailova,3190123456
1250,Ivan Pavlov,3015678902
1251,Natalia Vasilieva,3189012345
1252,Mikhail Kozlov,3165432109
1253,Tatiana Ivanova,3122345678
1254,Andrei Novikov,3150987654
1255,Elena Romanova,3203456789
1256,Roman Voronin,3171234567
1257,Yulia Egorova,3148765432
1258,Igor Orlov,3184321098
1259,Polina Yakovleva,3117654321
1260,Boris Popov,3167890123
1261,Galina Stepanova,3026789012
1262,Kirill Zaitsev,3156543210
1263,Vera Nikitina,3210123456
1264,Oleg Dmitriev,3197654321
1272,Julieta Vernicio,3180987654
1273,Carola Tomassi,3172345678
1289,Perl Harb,3109998877
1290,Sebas Caized,3128887766
